Club,Titles,Seasons
Real Madrid,16,"1957–58, 1959–60, 1961–62 (3[a]), 1963–64, 1987–88, 1999–2000, 2000–01, 2012–13, 2013–14, 2014–15, 2015–16, 2016–17, 2017–18, 2021–22"
Barcelona,9,"1993–94, 1999–2000, 2008–09, 2009–10, 2010–11, 2011–12, 2014–15 (2[b]), 2018–19"
Benfica,7,"1960–61, 1964–65 (2[c]), 1965–66, 1967–68, 1987–88, 1991–92"
Manchester United,7,"1956–57, 1968–69, 1998–99, 2001–02, 2002–03, 2004–05, 2007–08"
Bayern Munich,7,"1972–73, 1973–74, 1974–75, 1976–77, 1980–81, 1981–82, 2019–20"
Milan,4,"1962–63, 1988–89, 2005–06, 2006–07"
Marseille,3,"1989–90, 1990–91, 1991–92"
Ajax,3,"1971–72, 1979–80, 1995–96"
Juventus,3,"1982–83, 1984–85, 1997–98"
Partizan,2,"1955–56, 1963–64"
Borussia Mönchengladbach,2,"1975–76, 1977–78"
Liverpool,2,1980–81 (2[d])
IFK Göteborg,2,"1984–85, 1985–86"
PSV Eindhoven,2,"1989–90, 1992–93"
Porto,2,"1987–88, 1999–2000"
Reims,1,1958–59
1. FC Nürnberg,1,1961–62
Inter Milan,1,1963–64
Ferencváros,1,1965–66
Anderlecht,1,1966–67
Vorwärts Berlin,1,1966–67
Leeds United,1,1969–70
Panathinaikos,1,1970–71
Celtic,1,1971–72
Standard Liège,1,1971–72
Újpest,1,1971–72
Ararat Yerevan,1,1974–75
Zürich,1,1976–77
Grasshopper,1,1978–79
Dinamo Minsk,1,1983–84
Red Star Belgrade,1,1986–87
Neuchâtel Xamax,1,1987–88
Sparta Prague,1,1987–88
Steaua București,1,1987–88
Rangers,1,1987–88
Tirol Innsbruck,1,1990–91
Werder Bremen,1,1993–94
Paris Saint-Germain,1,1994–95
Atlético Madrid,1,1996–97
Dynamo Kyiv,1,1998–99
Monaco,1,2003–04
Borussia Dortmund,1,2020–21
Manchester City,1,2022–23
